"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth","lastRevised",""
"314602","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Hystrix indica Kerr 1792","Porcupine:English","Animalia","Chordata","Mammalia","Rodentia",,"Hystricidae","Hystrix","Hystrix indica Kerr 1792",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.064Z",
"314607","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)","Hoary Bellied Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Callosciurus","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.069Z",
"314594","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Martes flavigula (Boddaert 1785)","Himalayan Yellow Throated Marten:English","Animalia","Chordata","Mammalia","Carnivora",,"Mustelidae","Martes","Martes flavigula (Boddaert 1785)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.056Z",
"314596","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Tupaia belangeri (Wagner 1841)","Tree Shrew:English","Animalia","Chordata","Mammalia","Scandentia",,"Tupaiidae","Tupaia","Tupaia belangeri (Wagner 1841)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.058Z",
"314597","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Petaurista petaurista (Pallas 1766)","Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista petaurista (Pallas 1766)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.059Z",
"314605","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Felis chaus Schreber 1777","Jungle Cat:English","Animalia","Chordata","Mammalia","Carnivora",,"Felidae","Felis","Felis chaus Schreber 1777",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.067Z",
"314592","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Macaca mulatta (Zimmermann 1780)","Rhesus Macaque:English","Animalia","Chordata","Mammalia","Primates","Cercopithecoidea","Cercopithecidae","Macaca","Macaca mulatta (Zimmermann 1780)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.053Z",
"314601","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Paguma larvata (C. E. H. Smith 1827)","Himalayan Palm Civet:English","Animalia","Chordata","Mammalia","Carnivora",,"Viverridae","Paguma","Paguma larvata (C. E. H. Smith 1827)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.063Z",
"314604","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","true","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Panthera pardus (Linnaeus 1758)","Common Leopard:English","Animalia","Chordata","Mammalia","Carnivora",,"Felidae","Panthera","Panthera pardus (Linnaeus 1758)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.066Z",
"314608","c_ravi","Teesta Hydroelectric Project (Stage V) Area, Teesta Valley",,"1","false","15/03/1999",,"Mammals",,"false","27.38559913635254","88.50559997558594","LOCAL","15/03/1999","15/03/1999","Species","Pteropus giganteus (Brünnich 1782)","Flying Fox:English","Animalia","Chordata","Mammalia","Chiroptera",,"Pteropodidae","Pteropus","Pteropus giganteus (Brünnich 1782)",,,"Teesta Hydroelectric Project (Stage V) Area, Teesta Valley","SIKKIM","Mangan","NORTH",,"1999-03-15T00:00:00.000Z","March","2017-12-18T01:22:22.070Z",
